[ 2019-07-18 11:51:11 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:12 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:13 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:14 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:15 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:17 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:18 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:19 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:20 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:21 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:22 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:23 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:25 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:26 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:27 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:28 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:29 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:30 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:31 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:33 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:34 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:35 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:36 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:37 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:38 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:40 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:41 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:42 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:43 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:44 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:45 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:46 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:47 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:49 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:50 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:51 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:51:52 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
